Make,Model,Year,Engine Size,Mileage,Fuel Type,Transmission,Price
Audi,Model A,2009,1.7,22590,Diesel,Automatic,26996.54746
BMW,Model B,2014,2.4,43403,Electric,Manual,27635.07227
Toyota,Model D,2021,1.2,26628,Petrol,Automatic,30330.08169
Honda,Model A,2010,2.6,89421,Diesel,Automatic,25392.0375
Ford,Model B,2018,4.4,105763,Diesel,Manual,31253.83715
Honda,Model B,2012,3.2,133264,Electric,Automatic,25049.51858
Ford,Model C,2019,1.5,152505,Electric,Manual,21493.90047
Ford,Model E,2002,1.9,84629,Petrol,Automatic,20669.49689
Honda,Model A,2015,1.2,124062,Diesel,Automatic,21479.38731
Audi,Model B,2006,1.6,30617,Electric,Manual,20909.67272
Ford,Model A,2011,2.7,107454,Diesel,Automatic,25105.56111
Ford,Model D,2014,2.2,162754,Petrol,Automatic,22937.5042
Honda,Model D,2007,1.7,10250,Diesel,Automatic,26258.1583
Ford,Model E,2016,1.5,32836,Electric,Manual,29258.542
Ford,Model B,2000,3.3,112319,Petrol,Manual,20829.77073
Honda,Model C,2020,3,67173,Petrol,Automatic,34578.17523
Honda,Model B,2007,3.9,127939,Diesel,Manual,25574.00094
Toyota,Model A,2013,1.6,106761,Electric,Manual,25239.03798
Audi,Model D,2009,4,6251,Diesel,Manual,32333.55468
Audi,Model A,2018,3,101429,Diesel,Manual,30660.13157
Ford,Model E,2007,1.9,56246,Diesel,Automatic,22628.27143
Audi,Model D,2018,2,164078,Electric,Automatic,25093.36671
Ford,Model C,2003,2.4,86966,Diesel,Automatic,23276.7678
Toyota,Model D,2009,2.6,171857,Diesel,Automatic,19686.8878
Honda,Model B,2002,1.3,137536,Petrol,Manual,18473.09929
Honda,Model B,2003,3.9,67344,Petrol,Automatic,24260.76275
Honda,Model D,2015,1.4,141353,Petrol,Automatic,23180.23841
Audi,Model E,2003,2.7,50106,Electric,Automatic,21369.61966
Toyota,Model B,2019,2.3,121720,Diesel,Automatic,28618.20724
Audi,Model B,2019,2.8,94840,Diesel,Automatic,31808.25378
Audi,Model C,2012,4.1,105293,Petrol,Automatic,27884.74357
Toyota,Model D,2020,4.5,176112,Diesel,Manual,26532.31675
Toyota,Model B,2016,1.1,8998,Electric,Manual,28823.58218
Toyota,Model E,2015,2.4,145589,Diesel,Automatic,22250.79417
Toyota,Model A,2016,3.9,106083,Petrol,Automatic,29679.92919
Honda,Model D,2005,2.1,185354,Electric,Automatic,18103.61276
BMW,Model C,2002,3.3,42866,Diesel,Manual,25401.3994
BMW,Model B,2019,4.5,113384,Diesel,Manual,28726.52478
Toyota,Model E,2003,3.3,22969,Diesel,Automatic,25300.87273
BMW,Model D,2007,1.4,100980,Electric,Automatic,20663.46927
BMW,Model E,2019,4,146855,Diesel,Manual,31928.13924
Toyota,Model E,2008,4.4,118259,Petrol,Automatic,25591.64255
BMW,Model C,2021,3.5,31107,Petrol,Automatic,35940.29669
Audi,Model D,2000,2.5,176703,Petrol,Manual,15517.01598
Ford,Model B,2012,4.3,134831,Petrol,Manual,25684.46886
Ford,Model C,2001,4.4,14789,Electric,Manual,26652.99565
Toyota,Model B,2009,4.3,13214,Petrol,Automatic,31056.78257
Honda,Model A,2018,2.4,70657,Petrol,Manual,31811.28288
Toyota,Model E,2016,3.8,29482,Petrol,Manual,31570.86808
Honda,Model A,2012,3.3,163544,Electric,Automatic,23063.04603
Ford,Model E,2013,1.6,74536,Electric,Manual,23774.25752
Toyota,Model C,2010,2.9,48187,Diesel,Manual,30000.87774
Audi,Model B,2009,3.6,31087,Petrol,Manual,29913.0045
BMW,Model B,2006,4.1,941,Diesel,Automatic,32894.2561
Honda,Model C,2009,4,119340,Electric,Automatic,20201.00329
BMW,Model D,2000,1.5,132393,Diesel,Manual,17235.88881
BMW,Model A,2013,2.7,194539,Electric,Automatic,19373.37892
Toyota,Model A,2002,2.7,45972,Diesel,Automatic,21921.8883
BMW,Model B,2012,4.1,199676,Petrol,Automatic,22837.32061
Audi,Model B,2001,1,86658,Electric,Manual,17129.65221
BMW,Model B,2016,3.6,39361,Electric,Automatic,32198.23549
Toyota,Model C,2020,3.2,41354,Electric,Automatic,31911.05162
Audi,Model D,2002,4.2,66327,Petrol,Automatic,24874.04502
Ford,Model A,2014,2.6,192049,Petrol,Manual,21407.19276
BMW,Model E,2007,3.3,47191,Electric,Automatic,23435.12321
Toyota,Model C,2005,4.4,55828,Electric,Automatic,28197.2399
Ford,Model A,2008,3.6,10136,Petrol,Automatic,29720.26712
Ford,Model D,2010,1.2,146819,Petrol,Automatic,19443.49711
Honda,Model C,2021,1.6,66279,Petrol,Manual,28391.32792
Audi,Model A,2001,3.9,72060,Petrol,Automatic,23747.79618
BMW,Model C,2008,2.2,39342,Petrol,Manual,21095.34171
Toyota,Model A,2017,3.5,196118,Petrol,Automatic,23616.40964
Honda,Model A,2018,3.4,81851,Diesel,Manual,29809.90126
Audi,Model D,2021,4.5,176404,Petrol,Automatic,29579.68129
Honda,Model E,2017,2.6,32961,Petrol,Manual,30992.06749
Audi,Model D,2004,3.6,106198,Electric,Manual,24797.82825
Audi,Model A,2017,1.2,69810,Electric,Manual,24185.48446
BMW,Model C,2011,2.6,29838,Diesel,Automatic,29649.57577
Audi,Model D,2003,1.7,14332,Petrol,Manual,27190.23932
Honda,Model E,2014,3.9,63001,Electric,Automatic,29674.05458
Audi,Model A,2010,3.9,90329,Electric,Manual,28749.43239
BMW,Model D,2018,1.8,167422,Diesel,Automatic,26095.04572
BMW,Model D,2004,2.1,119771,Petrol,Automatic,22023.65536
Honda,Model D,2005,3.5,80954,Electric,Manual,23869.57496
Ford,Model D,2012,3.6,48473,Petrol,Automatic,31940.94049
Ford,Model C,2009,3.3,171969,Diesel,Automatic,23221.27789
Audi,Model E,2013,4.5,11682,Diesel,Manual,36327.54966
Toyota,Model E,2003,4,152799,Petrol,Automatic,22240.46715
Audi,Model A,2019,2.5,187741,Diesel,Automatic,26452.7088
Honda,Model B,2011,2.1,43775,Electric,Automatic,26058.27203
Honda,Model C,2014,3.1,56941,Diesel,Manual,28435.26539
Honda,Model A,2009,3.9,12115,Diesel,Automatic,26334.16829
Honda,Model A,2010,2.7,50937,Petrol,Manual,26007.79313
Honda,Model D,2008,3.6,45132,Electric,Manual,27323.19743
BMW,Model B,2010,1.1,193110,Petrol,Manual,12937.51696
Ford,Model B,2001,4.2,12025,Petrol,Manual,27388.19172
Honda,Model C,2012,3.7,95439,Petrol,Automatic,29773.12333
Toyota,Model B,2021,2.4,58526,Diesel,Automatic,29548.28817
Toyota,Model A,2007,2.3,147979,Diesel,Automatic,23445.93055
Toyota,Model B,2020,1.4,68832,Petrol,Automatic,29100.49601
Toyota,Model B,2020,3.9,56108,Diesel,Automatic,35683.31812
BMW,Model E,2007,3.7,151935,Diesel,Manual,22205.45687
Toyota,Model A,2000,3.2,136757,Petrol,Manual,16782.7856
Honda,Model B,2005,1.4,6647,Electric,Manual,25052.75084
Audi,Model B,2012,1.9,30145,Electric,Automatic,28812.43318
Toyota,Model D,2008,2.6,171634,Diesel,Manual,19275.10236
BMW,Model B,2005,1.9,103894,Electric,Automatic,20616.08003
BMW,Model B,2014,2.5,151839,Electric,Automatic,23395.53901
Toyota,Model E,2015,1.8,98702,Diesel,Automatic,23864.41229
Audi,Model A,2003,2.2,116839,Electric,Manual,19714.51795
Toyota,Model C,2016,3.3,5430,Diesel,Manual,31917.6633
BMW,Model A,2008,4.1,134952,Petrol,Manual,25980.21223
Ford,Model D,2011,2.3,65662,Electric,Manual,30454.17229
Honda,Model A,2021,3.4,116775,Petrol,Manual,32660.05427
BMW,Model B,2018,1.5,60487,Petrol,Automatic,27605.51215
Toyota,Model D,2019,2.9,39793,Diesel,Manual,33009.43635
Honda,Model A,2011,4.2,113584,Electric,Manual,29487.499
Toyota,Model D,2021,1.1,110549,Electric,Manual,25979.48048
Toyota,Model C,2005,1.9,57590,Electric,Automatic,23537.32753
Ford,Model A,2011,1.5,71461,Electric,Manual,25362.8663
Honda,Model B,2008,2.9,52470,Diesel,Manual,26700.682
Honda,Model D,2019,3.4,198689,Petrol,Automatic,25745.81819
Ford,Model E,2004,1.2,63616,Electric,Manual,22321.6203
BMW,Model D,2020,1.2,100361,Electric,Automatic,29847.47497
Toyota,Model E,2002,4,169743,Diesel,Automatic,19334.68525
Audi,Model B,2001,2.6,136407,Electric,Manual,20360.35099
Toyota,Model C,2007,2.6,68525,Electric,Manual,21299.17304
Toyota,Model E,2009,4.3,105879,Petrol,Manual,27774.49463
BMW,Model C,2014,2.1,93709,Electric,Automatic,21151.8974
Toyota,Model D,2008,4.1,71257,Electric,Manual,26089.9299
Ford,Model B,2009,4.4,187302,Petrol,Automatic,20863.30444
Ford,Model E,2010,1.8,2728,Electric,Automatic,30738.31559
Honda,Model D,2008,2.8,83511,Petrol,Manual,23859.13159
Audi,Model A,2013,2.9,22167,Diesel,Manual,30094.58821
Toyota,Model D,2004,4,167001,Petrol,Automatic,20209.42455
Toyota,Model C,2008,2.1,73711,Petrol,Manual,20622.00375
BMW,Model B,2003,3.8,168469,Electric,Automatic,20250.302
Ford,Model B,2001,4.4,126218,Electric,Manual,22141.5947
Audi,Model D,2018,3.9,193320,Electric,Manual,24509.70136
Honda,Model A,2000,4.2,178608,Electric,Manual,21229.14234
Ford,Model C,2020,3.5,72437,Petrol,Manual,35075.21602
Honda,Model D,2000,4.2,76426,Diesel,Automatic,21063.34534
BMW,Model D,2011,1.6,76851,Electric,Automatic,22483.92121
BMW,Model B,2010,3.5,80962,Petrol,Automatic,27891.57984
Toyota,Model C,2000,3.6,162388,Diesel,Automatic,17150.62197
Audi,Model A,2013,2.5,35065,Diesel,Automatic,28311.53031
Honda,Model B,2010,1.3,120138,Diesel,Automatic,18557.87072
Ford,Model D,2006,3.2,80286,Petrol,Manual,22370.28782
BMW,Model B,2001,1.2,23674,Electric,Manual,19676.18799
Toyota,Model B,2014,2.3,119632,Petrol,Automatic,24880.2171
Toyota,Model E,2007,2.4,26085,Electric,Automatic,26391.75181
Honda,Model B,2021,4.5,38086,Diesel,Automatic,34962.18087
BMW,Model B,2019,2,114700,Diesel,Automatic,24467.36911
Audi,Model C,2014,3.9,63493,Petrol,Automatic,28141.2731
BMW,Model B,2007,1.2,184258,Diesel,Automatic,17664.86989
Honda,Model A,2009,2.9,48248,Petrol,Manual,31137.98026
Honda,Model D,2018,2.9,26156,Electric,Manual,33352.56022
BMW,Model C,2002,3.2,100355,Diesel,Automatic,16248.31709
Honda,Model B,2019,3.8,134948,Electric,Automatic,30489.10729
BMW,Model A,2013,3.7,186354,Diesel,Manual,25953.34127
Ford,Model D,2008,3.7,71963,Electric,Manual,25503.38131
BMW,Model C,2008,2.5,176849,Diesel,Manual,20917.02699
BMW,Model A,2020,3.5,48119,Electric,Manual,35737.03212
Honda,Model B,2005,2.7,198431,Diesel,Manual,19556.66592
Honda,Model E,2007,1.2,101044,Petrol,Automatic,18675.99534
Toyota,Model E,2010,4.1,100092,Electric,Manual,27345.60277
Toyota,Model C,2007,4.1,116640,Electric,Manual,25231.78732
Ford,Model A,2011,2.1,146713,Petrol,Manual,24001.3806
Toyota,Model D,2009,4.2,76432,Petrol,Manual,27259.21672
BMW,Model A,2003,3.7,189367,Petrol,Manual,20315.37875
Honda,Model E,2015,2.4,78451,Diesel,Manual,27922.61277
Toyota,Model C,2019,2.2,85340,Petrol,Manual,30552.95853
Toyota,Model B,2005,4.4,19411,Diesel,Manual,30845.83093
Ford,Model A,2008,3.5,134173,Diesel,Manual,21980.10477
Ford,Model E,2004,2.3,28536,Petrol,Manual,24711.34037
BMW,Model D,2020,3.2,3588,Petrol,Manual,33839.64069
Honda,Model C,2005,3,145781,Diesel,Automatic,20164.60943
Ford,Model B,2016,2.8,87657,Electric,Manual,31713.31785
Toyota,Model A,2016,3.3,132489,Electric,Manual,26128.2575
Honda,Model D,2021,2.9,20293,Petrol,Automatic,33063.32469
Honda,Model B,2012,3.3,53897,Electric,Manual,28535.59478
Toyota,Model E,2016,4.2,44649,Diesel,Manual,34518.15398
Ford,Model E,2013,4.5,35540,Electric,Manual,34058.58591
Toyota,Model D,2001,3.5,62251,Diesel,Automatic,24107.89548
Honda,Model E,2018,4.2,119863,Petrol,Automatic,28812.90045
Audi,Model C,2002,4,186499,Petrol,Automatic,18178.27425
Audi,Model D,2001,2,191244,Electric,Manual,16753.00913
BMW,Model E,2001,4.3,35017,Petrol,Automatic,23314.71547
Toyota,Model A,2021,1.2,114383,Petrol,Manual,26698.11541
Toyota,Model E,2006,2.2,20242,Diesel,Automatic,24949.65305
BMW,Model C,2003,3.2,194501,Diesel,Manual,18111.59189
BMW,Model B,2016,2.8,116313,Diesel,Automatic,27054.64257
BMW,Model B,2005,2.9,199357,Diesel,Automatic,14329.67148
Honda,Model E,2006,3.8,97544,Petrol,Manual,25899.8047
Toyota,Model B,2019,1.7,100151,Diesel,Manual,24941.28163
Honda,Model E,2005,4.4,112457,Diesel,Manual,22314.57902
BMW,Model C,2008,2.5,8770,Diesel,Manual,27662.89629
Toyota,Model B,2019,4.3,132208,Electric,Manual,29667.39843
Honda,Model A,2003,2.3,11602,Diesel,Automatic,22923.4874
Honda,Model E,2004,3.1,101437,Petrol,Manual,21350.9093
BMW,Model B,2018,2.6,10466,Petrol,Manual,31210.11849
Toyota,Model C,2009,3.4,141485,Diesel,Manual,26319.26329
BMW,Model C,2017,1.6,177147,Electric,Automatic,22470.25619
Toyota,Model A,2014,2.4,132229,Electric,Manual,23871.81072
Audi,Model C,2000,1.2,138524,Electric,Automatic,15991.31972
Ford,Model C,2004,3.1,26225,Electric,Manual,25511.1995
Ford,Model B,2004,4.4,40043,Diesel,Manual,27278.38983
Ford,Model E,2007,1.2,145550,Diesel,Manual,19489.09802
BMW,Model D,2021,3.3,87333,Petrol,Automatic,30345.28141
Audi,Model C,2021,3.7,168212,Petrol,Manual,26444.09315
Toyota,Model C,2021,1.7,136683,Electric,Manual,27377.70512
Honda,Model D,2019,2,161238,Electric,Automatic,24765.72526
Toyota,Model C,2014,1.7,149779,Petrol,Manual,22220.05676
Honda,Model B,2016,2,131305,Petrol,Automatic,23733.80849
Toyota,Model B,2018,1.4,189681,Electric,Manual,22507.38201
Audi,Model D,2012,2.3,171756,Petrol,Manual,18271.72464
Honda,Model C,2021,2.3,65567,Electric,Automatic,26947.4892
BMW,Model C,2020,3.8,159086,Diesel,Manual,27851.55961
Toyota,Model E,2009,3.8,91483,Electric,Manual,27784.91584
Toyota,Model C,2016,3.8,8951,Diesel,Manual,36641.64635
Honda,Model B,2004,3,199811,Diesel,Automatic,18105.3748
BMW,Model A,2017,2.1,67330,Diesel,Manual,26488.32916
BMW,Model A,2016,2.4,62831,Petrol,Manual,26829.2324
Audi,Model A,2003,2.1,197369,Petrol,Automatic,17252.4925
BMW,Model A,2021,3,28936,Electric,Manual,35864.12199
BMW,Model C,2006,4.3,194774,Diesel,Manual,21960.73999
BMW,Model C,2004,2,15574,Electric,Manual,26062.43366
Ford,Model E,2007,2.6,98585,Diesel,Automatic,23108.23689
Audi,Model C,2007,3.3,135143,Diesel,Manual,21926.48973
Toyota,Model A,2010,4,152081,Electric,Manual,24075.9342
Honda,Model D,2008,1.9,159703,Electric,Automatic,20089.62167
Toyota,Model D,2018,2,22362,Electric,Automatic,31356.16551
Audi,Model B,2018,4.1,161772,Electric,Automatic,24180.4725
Honda,Model B,2008,1.3,47105,Petrol,Manual,25009.89732
Audi,Model C,2019,3.1,162304,Diesel,Automatic,27756.52611
BMW,Model D,2016,4,41775,Diesel,Manual,33563.01001
Honda,Model A,2015,4.2,184783,Petrol,Manual,28479.2227
BMW,Model A,2006,1,17854,Diesel,Automatic,21492.16417
Toyota,Model A,2021,2.3,128362,Petrol,Manual,25549.65528
Toyota,Model C,2002,1.9,68823,Diesel,Automatic,21360.75049
Honda,Model C,2020,3,46782,Petrol,Automatic,31147.34037
Honda,Model E,2018,3.2,22090,Petrol,Automatic,36628.51877
Audi,Model A,2007,4.5,27161,Diesel,Automatic,28755.54358
Audi,Model A,2004,2.8,147966,Diesel,Manual,17764.53212
BMW,Model C,2005,2.9,106265,Diesel,Manual,21181.07439
Honda,Model C,2001,2.5,46300,Electric,Manual,21590.52798
Toyota,Model E,2018,1.5,90666,Diesel,Automatic,25729.43844
Audi,Model E,2012,2.1,44665,Diesel,Automatic,26440.49785
Audi,Model B,2005,1.9,170624,Diesel,Manual,16044.19292
Toyota,Model D,2005,3.8,196360,Electric,Automatic,16170.38062
Audi,Model A,2001,2.9,189722,Diesel,Manual,16823.17841
BMW,Model A,2004,2,93254,Petrol,Automatic,19465.82725
Honda,Model E,2010,2.7,54645,Petrol,Automatic,26361.74018
Toyota,Model E,2010,1.8,114946,Electric,Manual,19424.51291
Honda,Model B,2013,1.6,170428,Electric,Manual,17129.60084
Audi,Model D,2012,4,42184,Electric,Manual,30702.75029
Audi,Model B,2007,4.3,50817,Electric,Automatic,31668.63588
Toyota,Model D,2014,1.3,34633,Electric,Manual,29909.58329
BMW,Model A,2011,3.7,48720,Diesel,Manual,27646.72991
Ford,Model B,2002,2.6,66301,Petrol,Automatic,20404.87223
Toyota,Model E,2020,2.4,155712,Petrol,Automatic,26354.76773
Ford,Model B,2004,3.4,51857,Diesel,Automatic,19875.06156
Ford,Model B,2005,1.9,5765,Electric,Automatic,23839.58578
BMW,Model A,2001,1.1,80872,Diesel,Automatic,18101.61445
Ford,Model E,2007,1.7,30761,Electric,Manual,23902.27889
Ford,Model E,2004,1.6,37742,Petrol,Automatic,18514.3339
BMW,Model C,2021,1.1,132455,Petrol,Manual,21419.7948
Ford,Model C,2016,2.1,194307,Electric,Automatic,18622.42238
Ford,Model C,2001,2.7,15458,Diesel,Automatic,23972.15507
Ford,Model A,2010,3.6,133507,Electric,Automatic,22852.77616
Toyota,Model B,2003,2.1,159808,Electric,Automatic,19823.93891
Toyota,Model E,2010,1.7,29992,Petrol,Manual,23227.41297
Toyota,Model E,2008,1.8,57566,Electric,Manual,26177.64189
BMW,Model B,2005,4.1,171764,Diesel,Manual,18705.78961
Audi,Model E,2001,1.7,114358,Electric,Automatic,22213.95658
Ford,Model B,2014,4.1,154514,Petrol,Manual,27798.70549
Ford,Model A,2004,2.6,23700,Diesel,Manual,20580.81924
BMW,Model A,2011,4.3,103932,Diesel,Manual,30337.26728
Ford,Model A,2012,2.4,27763,Petrol,Manual,27487.66293
Toyota,Model B,2016,1.6,178628,Petrol,Manual,23124.42745
Audi,Model B,2003,2.9,198975,Electric,Automatic,16329.32593
Honda,Model D,2009,3.1,135937,Petrol,Automatic,22192.92635
Ford,Model E,2000,3.2,172914,Petrol,Automatic,16246.73851
Toyota,Model E,2010,2.4,170999,Petrol,Automatic,17907.35629
Honda,Model D,2015,1.2,49602,Petrol,Manual,25538.39076
Audi,Model D,2010,3.2,121727,Diesel,Manual,21729.07948
Honda,Model A,2008,4.3,162148,Diesel,Manual,22548.4756
Toyota,Model D,2001,4.4,19734,Diesel,Manual,27703.4258
Honda,Model B,2006,3.1,2829,Petrol,Automatic,30174.0301
BMW,Model C,2018,1.1,1915,Electric,Manual,33077.35404
Honda,Model B,2017,1.4,39980,Electric,Manual,28276.09127
Ford,Model D,2019,3.9,9440,Electric,Manual,33576.16185
Ford,Model E,2006,3.9,135891,Electric,Manual,22902.03967
BMW,Model B,2008,4.3,73415,Diesel,Automatic,27605.60885
Toyota,Model E,2011,3,90352,Electric,Manual,28617.84289
Ford,Model B,2002,4,32225,Diesel,Automatic,28139.63333
Audi,Model E,2021,3.9,141406,Electric,Automatic,30694.99271
Ford,Model B,2015,3.1,106860,Electric,Manual,30398.40788
Ford,Model E,2006,3.7,95367,Diesel,Automatic,23619.30248
Toyota,Model C,2004,1.4,69656,Diesel,Automatic,21570.9586
Honda,Model A,2006,3.2,104780,Electric,Manual,22151.22588
Ford,Model B,2018,4.3,2961,Petrol,Manual,35508.85981
BMW,Model C,2016,1.6,78385,Electric,Automatic,22144.4152
Honda,Model A,2015,3.6,32545,Electric,Manual,32274.55022
Audi,Model B,2020,2.1,51569,Electric,Manual,30879.88367
Toyota,Model C,2020,3.9,132688,Diesel,Automatic,29891.61001
Audi,Model C,2018,3.4,123915,Electric,Automatic,29512.37462
Honda,Model C,2017,4.2,74447,Petrol,Automatic,34176.71891
Honda,Model D,2018,3.5,184906,Electric,Manual,25719.55664
Honda,Model E,2003,2.4,25549,Petrol,Automatic,25229.43256
Audi,Model A,2000,1,72361,Petrol,Manual,18129.23762
Honda,Model E,2003,3.8,18230,Petrol,Automatic,29341.25819
Audi,Model E,2003,2.4,50618,Electric,Automatic,23835.39612
Honda,Model E,2008,3.3,114676,Diesel,Automatic,27511.31207
BMW,Model C,2007,1.4,8882,Diesel,Automatic,25385.819
Honda,Model E,2001,4.1,81844,Electric,Manual,21733.14474
Audi,Model D,2005,2.5,117200,Electric,Automatic,23163.58733
Ford,Model B,2010,4.2,175880,Petrol,Manual,24888.87671
Honda,Model C,2003,3.5,115933,Electric,Manual,22653.94231
Ford,Model A,2013,1.4,22500,Diesel,Manual,24089.18817
BMW,Model B,2020,3,81410,Electric,Automatic,33907.14681
Toyota,Model B,2021,4.2,140405,Electric,Manual,32882.89649
BMW,Model B,2008,3.8,53383,Electric,Manual,28558.92133
Honda,Model E,2001,2.5,66513,Petrol,Automatic,15480.5113
Ford,Model E,2000,4.3,157882,Electric,Automatic,19029.37709
Ford,Model C,2003,1.9,156189,Electric,Automatic,20315.80845
Audi,Model E,2011,2.3,72258,Electric,Automatic,26441.12293
Ford,Model E,2004,3.6,13217,Diesel,Manual,25119.18148
Audi,Model E,2008,1.8,172842,Petrol,Automatic,16843.37088
Toyota,Model C,2021,2.8,86427,Petrol,Automatic,29981.56189
Honda,Model C,2003,3.6,45272,Diesel,Automatic,27694.84733
Audi,Model D,2015,3.3,83053,Petrol,Automatic,25929.42343
Toyota,Model D,2001,1.5,61724,Diesel,Automatic,21528.00634
Ford,Model D,2015,3.2,146290,Petrol,Manual,27164.89344
Ford,Model D,2015,3,37633,Petrol,Manual,35102.8849
Toyota,Model B,2020,3,41528,Petrol,Automatic,33989.40168
Ford,Model B,2021,3.9,183224,Electric,Automatic,25660.28116
Toyota,Model D,2010,1.6,9513,Petrol,Manual,26628.27645
Audi,Model D,2000,3.6,171506,Electric,Automatic,15641.79539
Audi,Model A,2014,3.7,174776,Electric,Manual,25439.00931
Toyota,Model B,2003,3.5,72901,Electric,Manual,27340.75745
Audi,Model A,2017,2.8,60922,Diesel,Manual,28337.79974
Audi,Model A,2016,2.4,104936,Petrol,Manual,28416.32231
Audi,Model E,2006,2.4,100071,Petrol,Automatic,20558.20061
BMW,Model C,2017,3.6,100378,Petrol,Automatic,26579.54571
Honda,Model B,2012,2.7,50293,Electric,Automatic,31082.70206
Ford,Model D,2019,2.2,99381,Petrol,Automatic,28396.3569
BMW,Model D,2019,3.2,55272,Electric,Automatic,33119.27153
Audi,Model C,2009,3.9,8670,Electric,Manual,32589.91396
Toyota,Model B,2000,1.2,27809,Electric,Manual,16608.04561
Audi,Model D,2001,4.4,18069,Electric,Automatic,26865.17844
Honda,Model D,2016,1.3,95447,Petrol,Manual,21542.32315
Audi,Model E,2021,2.8,118179,Electric,Manual,28144.32038
Toyota,Model A,2002,3,99675,Diesel,Manual,23314.80445
Honda,Model D,2016,1.5,136531,Diesel,Manual,24072.50068
Audi,Model B,2011,4.2,159548,Diesel,Automatic,23688.39834
Honda,Model C,2011,2.7,62289,Electric,Automatic,26834.97873
Ford,Model E,2019,1.5,27177,Petrol,Manual,29850.25961
Ford,Model B,2009,3.5,3423,Petrol,Manual,30950.67162
Audi,Model E,2006,3.3,61001,Electric,Automatic,24299.21353
Honda,Model A,2009,4.4,151432,Electric,Automatic,24483.28718
Toyota,Model D,2017,2.5,198006,Electric,Automatic,22902.2388
Audi,Model B,2021,1.9,161304,Diesel,Automatic,26086.38553
Ford,Model C,2005,1.2,44940,Electric,Manual,22091.87452
Ford,Model A,2006,3.6,136433,Electric,Manual,19102.17446
Audi,Model A,2016,3.2,1401,Petrol,Manual,30810.0328
Honda,Model E,2011,4.4,66948,Petrol,Automatic,31200.57554
